token,pos,lemma,aspect,tense,verbForm,voice,mood,number,person,case,gender
aquarium,adi,aquarius,,,,,,sg,,acc,m
anserem,n,anser,,,,,,sg,,acc,m
pisces,n,pisces,,,,,,pl,,acc,m
duos,num,duo,,,,,,pl,,acc,m
mullos,adi,mullus,,,,,,pl,,acc,m
in,adp,in,,,,,,,,,
medio,adi,medius,,,,,,sg,,abl,m
caespes,n,caespis,,,,,,sg,,nom,m
herbis,n,herba,,,,,,pl,,abl,f
excisus,v,excido,perf,past,participle,passive,,sg,,nom,m
favum,n,favum,,,,,,sg,,acc,m
sustinebat,v,sustineo,imperf,past,finite,active,ind,sg,3,,
circumferebat,v,circumfero,imperf,past,finite,active,ind,sg,3,,
aegyptius,adi,aegyptius,,,,,,sg,,nom,m
puer,n,puer,,,,,,sg,,nom,m
clibano,n,clibanus,,,,,,sg,,abl,n
argenteo,adi,argenteus,,,,,,sg,,abl,m
panem,n,panis,,,,,,sg,,acc,m
ipse,pron,ipse,,,,,,sg,,nom,m
taeterrima,adi,taeter,,,,,,sg,,abl,f
voce,n,vox,,,,,,sg,,abl,f
de,adp,de,,,,,,,,,
laserpiciario,adi,laserpiciarius,,,,,,sg,,abl,m
mimo,n,mimus,,,,,,sg,,abl,m
canticum,n,canticus,,,,,,sg,,acc,m
extorsit,v,exsirso,perf,past,finite,active,ind,sg,3,,
tristiores,adi,tristus,,,,,,pl,,acc,m
ad,adp,ad,,,,,,,,,
viles,pron,viles,,,,,,pl,,acc,m
accessimus,v,accio,perf,past,finite,active,ind,pl,1,,
cibos,n,cibus,,,,,,pl,,acc,m
suadeo,v,suadeo,imperf,fut,finite,active,ind,sg,1,,
inquit,v,inquam,imperf,praes,finite,active,ind,sg,3,,
trimalchio,n,trimalchio,,,,,,sg,,nom,m
cenemus,pron,cenemus,,,,,,sg,,nom,n
hoc,pron,hic,,,,,,sg,,nom,n
est,aux,sum,,praes,finite,active,ind,sg,3,,
ius,n,ius,,,,,,sg,,nom,n
cenae,n,coena,,,,,,sg,,gen,f
haec,pron,hic,,,,,,pl,,acc,n
dixit,v,dico,perf,past,finite,active,ind,sg,3,,
ad,adp,ad,,,,,,,,,
symphoniam,n,symphoniam,,,,,,sg,,acc,f
quattuor,num,quattuor,,,,,,,,,
tripudiantes,v,tripudio,imperf,praes,participle,active,,pl,,nom,m
procurrerunt,v,procuro,perf,past,finite,active,ind,pl,3,,
superioremque,adi,superior,,,,,,sg,,acc,f
partem,n,pars,,,,,,sg,,acc,f
repositorii,adi,repositorius,,,,,,sg,,gen,m
abstulerunt,v,affero,perf,past,finite,active,ind,pl,3,,
facto,v,facio,perf,past,participle,passive,,sg,,abl,m
videmus,v,video,imperf,fut,finite,active,ind,pl,1,,
altitia,n,altitia,,,,,,pl,,acc,n
sumina,adi,sumen,,,,,,sg,,acc,n
leporemque,n,leporemque,,,,,,sg,,acc,m
in,adp,in,,,,,,,,,
medio,adi,medius,,,,,,sg,,abl,m
pinnis,n,pinnis,,,,,,pl,,abl,f
subornatum,v,suborno,perf,past,participle,passive,,sg,,acc,m
pegasus,n,pegasus,,,,,,pl,,nom,m
videretur,v,video,imperf,past,finite,passive,coni,sg,3,,
notavimus,v,noto,imperf,praes,finite,active,ind,pl,1,,
circa,adp,circa,,,,,,,,,
angulos,n,angulus,,,,,,pl,,acc,m
repositorii,adi,repositorius,,,,,,sg,,gen,m
marsyas,n,marsya,,,,,,sg,,gen,m
quattuor,num,quattuor,,,,,,,,,
quorum,pron,qui,,,,,,pl,,gen,m
utriculis,pron,uterculis,,,,,,sg,,nom,n
garum,n,garum,,,,,,sg,,nom,n
piperatum,v,pipero,perf,past,participle,passive,,sg,,nom,n
currebat,v,curro,imperf,past,finite,active,ind,sg,3,,
pisces,n,pisces,,,,,,pl,,acc,m
qui,pron,qui,,,,,,pl,,nom,m
in,adp,in,,,,,,,,,
euripo,n,euripus,,,,,,sg,,abl,n
natabant,v,nator,imperf,past,finite,active,ind,pl,3,,
damus,v,do,imperf,praes,finite,active,ind,pl,1,,
omnes,adi,omnis,,,,,,pl,,acc,m
plausum,n,plausus,,,,,,sg,,acc,m
a,adp,ab,,,,,,,,,
familia,n,familia,,,,,,sg,,abl,f
inceptum,v,incipio,perf,past,participle,passive,,sg,,acc,m
res,n,res,,,,,,pl,,acc,f
electissimas,adi,electus,,,,,,pl,,acc,f
ridentes,v,rideo,imperf,praes,participle,active,,pl,,acc,m
aggredimur,v,aggredior,imperf,praes,finite,passive,ind,pl,1,,
minus,adv,minus,,,,,,,,,
trimalchio,n,trimalchio,,,,,,sg,,acc,n
eiusmodi,adv,eiusmodi,,,,,,,,,
methodio,n,methodius,,,,,,sg,,abl,m
laetus,v,laero,perf,past,participle,passive,,sg,,nom,m
carpe,unknown_by_cltk,caro,,,,,,,,,
inquit,v,inquam,imperf,praes,finite,active,ind,sg,3,,
processit,v,procedo,perf,past,finite,active,ind,sg,3,,
statim,adv,statim,,,,,,,,,
scissor,n,scissor,,,,,,sg,,nom,m
ad,adp,ad,,,,,,,,,
symphoniam,n,symphoniam,,,,,,sg,,acc,f
gesticulatus,v,gesticulo,perf,past,participle,passive,,sg,,nom,m
laceravit,v,lacero,perf,past,finite,active,ind,sg,3,,
obsonium,n,obsonium,,,,,,sg,,acc,m
putares,adi,putaris,,,,,,pl,,acc,m
essedarium,adi,essedarius,,,,,,sg,,acc,m
hydraule,adv,hydraule,,,,,,,,,
cantante,v,canto,imperf,praes,participle,active,,sg,,abl,m
pugnare,v,pugno,imperf,praes,infinitive,active,,,,,
ingerebat,v,ingero,imperf,past,finite,active,ind,sg,3,,
nihilo,pron,nihil,,,,,,sg,,abl,n
minus,adv,minus,,,,,,,,,
trimalchio,n,trimalchio,,,,,,sg,,abl,n
lentissima,adi,lentus,,,,,,sg,,abl,f
voce,n,vox,,,,,,sg,,abl,f
carpe,n,caro,,,,,,sg,,acc,n
carpe,n,caro,,,,,,sg,,acc,n
suspicatus,v,suspicor,perf,past,participle,passive,,sg,,nom,m
ad,adp,ad,,,,,,,,,
aliquam,pron,aliqui,,,,,,sg,,acc,f
urbanitatem,n,urbanitas,,,,,,sg,,acc,f
totiens,v,totior,imperf,praes,participle,active,,sg,,nom,f
iteratam,v,itero,perf,past,participle,passive,,sg,,acc,f
vocem,n,vox,,,,,,sg,,acc,f
pertinere,v,pertineo,imperf,praes,infinitive,active,,,,,
erubui,v,erubuo,perf,past,finite,active,ind,sg,1,,
eum,pron,is,,,,,,sg,,acc,m
qui,pron,qui,,,,,,sg,,nom,m
supra,adp,supra,,,,,,,,,
me,pron,ego,,,,,,sg,,acc,m
accumbebat,v,accumbo,imperf,past,finite,active,ind,sg,3,,
hoc,pron,hic,,,,,,sg,,acc,n
ipsum,pron,ipse,,,,,,sg,,acc,m
interrogare,v,interrogo,imperf,praes,infinitive,active,,,,,
ille,pron,ille,,,,,,sg,,nom,m
qui,pron,qui,,,,,,sg,,nom,m
saepius,adv,saepius,,,,,,,,,
eiusmodi,adv,eiusmodi,,,,,,,,,
ludos,n,ludes,,,,,,pl,,acc,m
spectaverat,v,specto,perf,pluperfect,finite,active,ind,sg,3,,
vides,v,video,imperf,praes,finite,active,indicative,sg,2,,
illum,pron,ille,,,,,,sg,,acc,m
inquit,v,inquam,imperf,praes,finite,active,ind,sg,3,,
qui,pron,qui,,,,,,sg,,nom,m
obsonium,n,obsonium,,,,,,sg,,acc,m
carpit,v,carpo,imperf,praes,finite,active,ind,sg,3,,
carpus,n,carpus,,,,,,sg,,nom,m
vocatur,v,voco,imperf,praes,finite,passive,ind,sg,3,,
quotiescumque,adv,quotienscumque,,,,,,,,,
dicit,v,dico,imperf,praes,finite,active,ind,sg,3,,
carpe,n,caro,,,,,,sg,,nom,m
eodem,pron,idem,,,,,,sg,,abl,m
verbo,n,verbo,,,,,,sg,,abl,m
vocat,v,voco,imperf,praes,finite,active,ind,sg,3,,
imperat,v,impero,imperf,praes,finite,active,ind,sg,3,,
interpellavit,v,interpello,perf,past,finite,active,ind,sg,3,,
dulces,adi,dulcis,,,,,,pl,,acc,f
fabulas,n,fabula,,,,,,pl,,acc,f
trimalchio,n,trimalchio,,,,,,sg,,nom,m
sublatum,v,tollo,perf,past,participle,passive,,sg,,nom,n
erat,aux,sum,imperf,past,finite,active,ind,sg,3,,
ferculum,n,ferculum,,,,,,sg,,acc,n
hilaresque,pron,hilar,,,,,,pl,,nom,m
convivae,n,convivae,,,,,,sg,,nom,m
vino,n,vino,,,,,,sg,,abl,m
sermonibusque,n,sermo,,,,,,pl,,abl,m
publicatis,v,publico,perf,past,participle,passive,,pl,,abl,m
operam,n,opus,,,,,,sg,,acc,f
coeperant,v,coepiro,perf,past,finite,active,ind,pl,3,,
dare,v,do,imperf,praes,infinitive,active,,,,,
is,pron,is,,,,,,sg,,nom,m
reclinatus,v,reclino,perf,past,participle,passive,,sg,,nom,m
in,adp,in,,,,,,,,,
cubitum,n,cubitum,,,,,,sg,,acc,n
hoc,pron,hic,,,,,,sg,,acc,n
vinum,n,vinum,,,,,,sg,,acc,n
inquit,v,inquam,imperf,praes,finite,active,ind,sg,3,,
vos,pron,vos,,,,,,pl,,acc,m
oportet,v,oportet,imperf,praes,finite,active,ind,sg,3,,
suave,adi,suave,,,,,,sg,,acc,n
faciatis,v,facio,imperf,praes,finite,active,coni,pl,2,,
pisces,n,pisces,,,,,,pl,,acc,m
natare,v,nato,imperf,praes,infinitive,active,,,,,
oportet,v,oportet,imperf,praes,finite,active,ind,sg,3,,
rogo,v,rogo,imperf,praes,finite,active,ind,sg,2,,
me,pron,ego,,,,,,sg,,acc,m
putatis,v,puto,imperf,past,finite,active,ind,pl,,,
illa,pron,ille,,,,,,sg,,abl,f
cena,n,coena,,,,,,sg,,abl,f
esse,aux,sum,,praes,infinitive,active,,,,,
contentum,v,contineo,perf,past,participle,passive,,sg,,acc,n
quam,adv,quam,,,,,,,,,
in,adp,in,,,,,,,,,
theca,n,theca,,,,,,sg,,abl,f
repositorii,adi,repositorius,,,,,,sg,,gen,m
videratis,v,video,imperf,pluperfect,finite,active,ind,sg,3,,
notus,v,nosco,perf,past,participle,passive,,sg,,nom,m
ulixes,n,ulixes,,,,,,sg,,nom,m
quid,pron,quis,,,,,,sg,,nom,n
est,aux,sum,,praes,finite,active,ind,sg,3,,
oportet,v,oportet,imperf,praes,finite,active,ind,sg,3,,
cenandum,v,cigo,perf,,gerund,active,,sg,,acc,
philologiam,n,philologia,,,,,,sg,,acc,f
nosse,v,nosco,imperf,praes,infinitive,active,,,,,
patrono,n,patro,,,,,,sg,,abl,m
meo,adi,meus,,,,,,sg psor,psor,abl,m
ossa,n,os,,,,,,pl,,acc,n
bene,adv,bene,,,,,,,,,
quiescant,v,quiesco,imperf,praes,finite,active,coni,pl,3,,
qui,pron,qui,,,,,,pl,,nom,m
me,pron,ego,,,,,,sg,,acc,m
hominem,n,homo,,,,,,sg,,acc,m
homines,n,homo,,,,,,pl,,acc,m
voluit,v,voluit,perf,past,finite,active,ind,sg,3,,
esse,aux,sum,,praes,infinitive,active,,,,,
mihi,pron,ego,,,,,,sg,,dat,m
nihil,pron,nihil,,,,,,sg,,acc,n
novi,n,nos,,,,,,sg,,gen,m
potest,v,possum,imperf,praes,finite,active,ind,sg,3,,
afferri,v,affero,imperf,praes,infinitive,passive,,,,,
sicut,adv,sicut,,,,,,,,,
ille,pron,ille,,,,,,sg,,nom,m
tericulus,n,tericulus,,,,,,sg,,nom,m
iamel,unknown_by_cltk,iamel,,,,,,,,,
habuit,v,habeo,perf,past,finite,active,ind,sg,3,,
praxim,n,prax,,,,,,sg,,acc,m
caelus,n,caelus,,,,,,sg,,nom,m
in,adp,in,,,,,,,,,
duodecim,num,duodecim,,,,,,,,,
dii,n,deus,,,,,,pl,,nom,m
habitant,v,habito,imperf,praes,finite,active,ind,pl,3,,
in,adp,in,,,,,,,,,
totidem,num,totidem,,,,,,,,,
se,pron,se,,,,,,pl,,acc,m
figuras,n,figura,,,,,,pl,,acc,f
convertit,v,convertit,imperf,praes,finite,active,ind,sg,3,,
fit,v,facio,imperf,praes,finite,passive,ind,sg,3,,
aries,n,aries,,,,,,sg,,nom,m
itaque,adv,itaque,,,,,,,,,
quisquis,pron,quisquis,,,,,,sg,,nom,m
nascitur,v,nascor,imperf,praes,finite,passive,ind,sg,3,,
illo,pron,ille,,,,,,sg,,abl,n
signo,n,signum,,,,,,sg,,abl,n
multa,adi,multus,,,,,,pl,,acc,n
pecora,n,pecus,,,,,,pl,,acc,n
habet,v,habeo,imperf,praes,finite,active,ind,sg,3,,
multum,adv,multum,,,,,,,,,
lanae,n,lana,,,,,,sg,,gen,f
caput,n,caput,,,,,,sg,,acc,n
praeterea,adv,praeterea,,,,,,,,,
durum,adi,duo,,,,,,sg,,acc,n
frontem,n,frons,,,,,,sg,,acc,f
expudoratam,v,expudoro,perf,past,participle,passive,,sg,,acc,f
cornum,n,cornum,,,,,,sg,,acc,m
acutum,n,acutus,,,,,,sg,,acc,m
plurimi,adi,multus,,,,,,sg,,gen,m
hoc,pron,hic,,,,,,sg,,abl,n
signo,n,signum,,,,,,sg,,abl,n
scolastici,adi,scolasticus,,,,,,pl,,nom,m
nascuntur,v,nascor,imperf,praes,finite,passive,ind,pl,3,,
arietilli,n,arietillum,,,,,,sg,,gen,m
laudamus,v,laudo,imperf,praes,finite,active,ind,pl,1,,
urbanitatem,n,urbanitas,,,,,,sg,,acc,f
mathematici,adi,mathematicus,,,,,,sg,,gen,m
itaque,adv,itaque,,,,,,,,,
adiecit,v,adicio,perf,past,finite,active,ind,sg,3,,
totus,adi,totus,,,,,,sg,,nom,m
caelus,n,caelus,,,,,,sg,,nom,m
taurulus,n,taurulus,,,,,,sg,,nom,m
fit,v,facio,imperf,praes,finite,passive,ind,sg,3,,
itaque,adv,itaque,,,,,,,,,
tunc,adv,tunc,,,,,,,,,
calcitrosi,adi,calcitrosus,,,,,,pl,,nom,m
nascuntur,v,nascor,imperf,praes,finite,passive,ind,pl,3,,
bubulci,adi,bubulcus,,,,,,pl,,nom,m
qui,pron,qui,,,,,,pl,,nom,m
se,pron,se,,,,,,pl,,acc,m
ipsi,pron,ipse,,,,,,pl,,nom,m
pascunt,v,pasco,imperf,praes,finite,active,ind,pl,3,,
in,adp,in,,,,,,,,,
geminis,n,geminus,,,,,,pl,,abl,m
nascuntur,v,nascor,imperf,praes,finite,passive,ind,pl,3,,
bigae,n,biga,,,,,,pl,,nom,f
boves,n,bos,,,,,,pl,,nom,m
colei,n,coleus,,,,,,pl,,nom,m
qui,pron,qui,,,,,,pl,,nom,m
utrosque,adi,uterque,,,,,,pl,,acc,m
parietes,n,paries,,,,,,pl,,acc,m
linunt,v,lino,imperf,praes,finite,active,ind,pl,3,,
in,adp,in,,,,,,,,,
cancro,n,cancrum,,,,,,sg,,abl,m
natus,v,nascor,perf,past,participle,passive,,sg,,nom,m
sum,aux,sum,,praes,finite,active,ind,sg,1,,
ideo,adv,ideo,,,,,,,,,
multis,adi,multus,,,,,,pl,,abl,m
pedibus,n,pes,,,,,,pl,,abl,m
sto,v,sum,imperf,praes,finite,active,ind,sg,2,,
in,adp,in,,,,,,,,,
mari,n,mare,,,,,,sg,,abl,n
in,adp,in,,,,,,,,,
terra,n,terra,,,,,,sg,,abl,f
multa,adi,multus,,,,,,pl,,acc,n
possideo,v,possideo,imperf,fut,finite,active,ind,sg,1,,
cancer,n,cancer,,,,,,sg,,nom,m
hoc,pron,hic,,,,,,sg,,acc,n
illoc,pron,ille,,,,,,sg,,nom,m
quadrat,v,quadro,imperf,praes,finite,active,ind,sg,3,,
ideo,adv,ideo,,,,,,,,,
dudum,adv,dudum,,,,,,,,,
nihil,pron,nihil,,,,,,sg,,acc,n
illum,pron,ille,,,,,,sg,,acc,m
posui,v,pono,perf,past,finite,active,ind,sg,1,,
genesim,n,genes,,,,,,sg,,acc,m
meam,adi,meus,,,,,,sg psor,psor,acc,f
premerem,v,premo,imperf,imperf,finite,active,coni,sg,1,,
in,adp,in,,,,,,,,,
leone,n,leo,,,,,,sg,,abl,m
cataphagae,adi,cataphagus,,,,,,pl,,nom,f
nascuntur,v,nascor,imperf,praes,finite,passive,ind,pl,3,,
imperiosi,adi,imperiosus,,,,,,pl,,nom,m
in,adp,in,,,,,,,,,
virgine,n,virgine,,,,,,sg,,abl,f
mulieres,n,mulier,,,,,,pl,,nom,f
fugitivi,adi,fugitivi,,,,,,pl,,nom,m
compediti,v,compedio,perf,past,participle,passive,,pl,,nom,m
in,adp,in,,,,,,,,,
libra,n,liber,,,,,,sg,,abl,f
laniones,n,lanio,,,,,,pl,,nom,m
unguentarii,adi,unguentarius,,,,,,pl,,nom,m
quicunque,pron,quicumque,,,,,,sg,,nom,m
aliquid,pron,aliquis,,,,,,sg,,acc,n
expendunt,v,expendo,imperf,praes,finite,active,ind,pl,3,,
in,adp,in,,,,,,,,,
scorpione,n,scorpio,,,,,,sg,,abl,m
venenarii,adi,venenarii,,,,,,sg,,gen,m
percussores,n,percussor,,,,,,pl,,nom,m
in,adp,in,,,,,,,,,
sagittario,adi,sagittarius,,,,,,sg,,abl,m
strabones,adi,strabons,,,,,,pl,,acc,m
qui,pron,qui,,,,,,pl,,nom,m
holera,n,holera,,,,,,pl,,acc,n
spectant,v,specto,imperf,praes,finite,active,ind,pl,3,,
lardum,n,lar,,,,,,sg,,acc,m
tollunt,v,tollo,imperf,praes,finite,active,ind,pl,3,,
in,adp,in,,,,,,,,,
capricorno,n,capricornus,,,,,,sg,,abl,m
aerumnosi,adi,aerumnosus,,,,,,pl,,nom,m
quibus,pron,qui,,,,,,pl,,abl,m
prae,adp,prae,,,,,,,,,
mala,n,malum,,,,,,pl,,abl,n
sua,adi,suus,,,,,,sg,psor,abl,n
cornua,n,cornu,,,,,,pl,,nom,n
nascuntur,v,nascor,imperf,praes,finite,passive,ind,pl,3,,
in,adp,in,,,,,,,,,
aquario,adi,aquarius,,,,,,sg,,abl,n
copones,n,copo,,,,,,pl,,nom,m
cucurbitae,n,cucurbita,,,,,,sg,,gen,f
in,adp,in,,,,,,,,,
piscibus,n,piscis,,,,,,pl,,abl,m
obsonatores,n,obsonator,,,,,,pl,,acc,m
rhetores,n,rhetor,,,,,,pl,,acc,m
orbis,n,orbis,,,,,,sg,,nom,m
vertitur,v,vertitur,imperf,praes,finite,passive,ind,sg,3,,
tanquam,adv,tamquam,,,,,,,,,
mola,n,molum,,,,,,sg,,nom,f
semper,adv,semper,,,,,,,,,
aliquid,pron,aliquis,,,,,,sg,,acc,n
mali,n,malum,,,,,,sg,,gen,n
facit,v,facio,imperf,praes,finite,active,ind,sg,3,,
homines,n,homo,,,,,,pl,,acc,m
nascantur,v,nascor,imperf,praes,finite,passive,coni,pl,3,,
pereant,v,pereo,imperf,praes,finite,active,coni,pl,3,,
quod,adv,quod,,,,,,,,,
in,adp,in,,,,,,,,,
medio,adi,medius,,,,,,sg,,abl,m
caespitem,n,caespis,,,,,,sg,,acc,m
videtis,v,video,imperf,praes,finite,active,ind,pl,2,,
caespitem,n,caespis,,,,,,sg,,acc,m
favum,n,favum,,,,,,sg,,acc,m
nihil,pron,nihil,,,,,,sg,,acc,n
sine,adp,sine,,,,,,,,,
ratione,n,ratio,,,,,,sg,,abl,f
facio,v,facio,imperf,praes,finite,active,ind,sg,1,,
terra,n,terra,,,,,,sg,,nom,f
mater,n,mater,,,,,,sg,,nom,f
est,v,sum,imperf,praes,finite,active,ind,sg,3,,
in,adp,in,,,,,,,,,
medio,adi,medius,,,,,,sg,,abl,n
quasi,adv,quasi,,,,,,,,,
ovum,n,ovum,,,,,,sg,,acc,n
corrotundata,v,corrotundo,perf,past,participle,passive,,sg,,nom,f
omnia,pron,omnis,,,,,,pl,,acc,n
bona,n,bonum,,,,,,pl,,acc,n
in,adp,in,,,,,,,,,
se,pron,se,,,,,,sg,,abl,m
habet,v,habeo,imperf,praes,finite,active,ind,sg,3,,
tanquam,adv,tamquam,,,,,,,,,
favus,n,favus,,,,,,sg,,acc,n
molestus,adi,molestus,,,,,,sg,,nom,m
fuit,aux,sum,perf,past,finite,active,ind,sg,3,,
philerosque,n,philerus,,,,,,pl,,acc,m
proclamavit,v,proclamo,perf,past,finite,active,ind,sg,3,,
vivorum,n,vivorum,,,,,,pl,,gen,m
meminerimus,v,memini,perf,past,finite,active,ind,pl,1,,
ille,pron,ille,,,,,,sg,,nom,m
habet,v,habeo,imperf,praes,finite,active,ind,sg,3,,
quod,pron,qui,,,,,,sg,,nom,n
sibi,pron,se,,,,,,sg,,dat,m
debebatur,v,debeo,imperf,past,finite,passive,ind,sg,3,,
honeste,adv,honeste,,,,,,,,,
vixit,v,vixit,perf,past,finite,active,ind,sg,3,,
honeste,adv,honeste,,,,,,,,,
obiit,v,obicio,imperf,praes,finite,active,ind,sg,3,,
quid,pron,quis,,,,,,sg,,acc,n
habet,v,habeo,imperf,praes,finite,active,ind,sg,3,,
quod,adv,quod,,,,,,,,,
queratur,v,quero,imperf,praes,finite,passive,coni,sg,3,,
asse,n,as,,,,,,sg,,abl,m
crevit,v,creo,perf,past,finite,active,ind,sg,3,,
paratus,v,paro,perf,past,participle,passive,,sg,,nom,m
fuit,aux,sum,perf,past,finite,active,ind,sg,3,,
quadrantem,v,quadro,imperf,praes,participle,active,,sg,,acc,m
de,adp,de,,,,,,,,,
stercore,n,stercus,,,,,,sg,,abl,m
mordicus,adi,mordicus,,,,,,sg,,acc,m
tollere,v,tollo,imperf,praes,infinitive,active,,,,,
itaque,adv,itaque,,,,,,,,,
crevit,v,creo,perf,past,finite,active,ind,sg,3,,
quicquid,pron,quisquis,,,,,,sg,,acc,n
crevit,v,creo,perf,past,finite,active,ind,sg,3,,
tanquam,adv,tamquam,,,,,,,,,
favus,n,favus,,,,,,sg,,nom,m
puto,v,puto,imperf,praes,finite,active,ind,sg,1,,
mehercules,v,meherculo,imperf,praes,finite,active,ind,pl,2,,
illum,pron,ille,,,,,,sg,,acc,m
reliquisse,v,relinquo,perf,past,infinitive,active,,,,,
solida,adi,solidus,,,,,,pl,,acc,n
centum,num,centum,,,,,,,,,
omnia,pron,omnis,,,,,,pl,,acc,n
in,adp,in,,,,,,,,,
nummis,n,nummus,,,,,,pl,,abl,n
habuit,v,habeo,perf,past,finite,active,ind,sg,3,,
de,adp,de,,,,,,,,,
re,n,res,,,,,,sg,,abl,f
verum,pron,ego,,,,,,sg,,acc,n
dicam,v,dico,imperf,fut,finite,active,ind,sg,1,,
qui,pron,qui,,,,,,sg,,nom,m
linguam,n,lingua,,,,,,sg,,acc,f
caninam,adi,caninus,,,,,,sg,,acc,f
comedi,v,comedo,perf,past,finite,active,ind,sg,1,,
durae,adi,durus,,,,,,sg,,gen,f
buccae,adi,buccus,,,,,,sg,,gen,f
fuit,aux,sum,perf,past,finite,active,ind,sg,3,,
linguosus,adi,linguosus,,,,,,sg,,nom,m
discordia,n,discordia,,,,,,sg,,abl,f
homo,n,homo,,,,,,sg,,nom,m
frater,n,frater,,,,,,sg,,nom,m
eius,pron,is,,,,,,sg,,gen,m
fortis,adi,fortis,,,,,,sg,,nom,m
fuit,aux,sum,perf,past,finite,active,ind,sg,3,,
amicus,n,amicus,,,,,,sg,,nom,m
amico,n,amicus,,,,,,sg,,dat,m
manu,n,manus,,,,,,sg,,abl,f
plena,adi,plenus,,,,,,sg,,abl,f
uncta,v,ungo,perf,past,participle,passive,,sg,,abl,f
mensa,n,mensa,,,,,,sg,,abl,f
initia,n,initium,,,,,,pl,,acc,n
malam,adi,malus,,,,,,sg,,acc,f
parram,n,parsa,,,,,,sg,,acc,f
pilavit,v,pilo,impert,perf,finite,active,ind,sg,3,,
recorrexit,v,recorricio,perf,past,finite,active,ind,sg,3,,
costas,n,costa,,,,,,sg,,acc,f
illius,pron,ille,,,,,,sg,,gen,f
prima,adi,primus,,,,,,sg,,nom,f
vindemia,n,vindemia,,,,,,sg,,nom,f
vendidit,v,vendidit,perf,past,finite,active,ind,sg,3,,
vinum,n,vinum,,,,,,sg,,acc,n
quantum,adv,quantum,,,,,,,,,
ipse,pron,ipse,,,,,,sg,,nom,m
voluit,v,voluit,perf,past,finite,active,ind,sg,3,,
quod,adv,quod,,,,,,,,,
illius,pron,ille,,,,,,sg,,gen,m
mentum,n,mentum,,,,,,sg,,acc,m
sustulit,v,sustello,perf,past,finite,active,ind,sg,3,,
hereditatem,n,hereditas,,,,,,sg,,acc,f
accepit,v,accipio,perf,past,finite,active,ind,sg,3,,
qua,pron,qui,,,,,,sg,,abl,f
plus,adv,plus,,,,,,,,,
involavit,v,involavit,imperf,past,finite,active,ind,sg,3,,
quam,adv,quam,,,,,,,,,
illi,pron,ille,,,,,,sg,,dat,m
relictum,v,relinquo,perf,past,participle,passive,,sg,,nom,n
est,aux,sum,,praes,finite,active,ind,sg,3,,
ille,pron,ille,,,,,,sg,,nom,m
stips,n,stips,,,,,,sg,,dat,f
fratri,n,frater,,,,,,sg,,dat,m
suo,adi,suus,,,,,,sg,psor,dat,m
irascitur,v,irascor,imperf,praes,finite,passive,ind,sg,3,,
nescio,v,nescio,imperf,praes,finite,active,ind,sg,1,,
cui,pron,qui,,,,,,sg,,dat,m
terrae,n,terra,,,,,,sg,,dat,f
filio,n,filius,,,,,,sg,,dat,m
patrimonium,n,patrimonium,,,,,,sg,,nom,n
elegavit,v,elego,perf,past,finite,active,ind,sg,3,,
longe,adv,longe,,,,,,,,,
fugit,v,fugio,imperf,praes,finite,active,ind,sg,3,,
quisquis,pron,quisquis,,,,,,sg,,nom,m
suos,pron,suus,,,,,,pl,psor,acc,m
fugit,v,fugio,imperf,praes,finite,active,ind,sg,3,,
habuit,v,habeo,perf,past,finite,active,ind,sg,3,,
oracularios,adi,oracularius,,,,,,pl,,acc,m
servos,n,servos,,,,,,pl,,acc,m
qui,pron,qui,,,,,,pl,,nom,m
illum,pron,ille,,,,,,sg,,acc,m
pessum,n,pessus,,,,,,sg,,acc,m
dederunt,v,do,perf,past,finite,active,ind,pl,3,,
nunquam,adv,numquam,,,,,,,,,
recte,adv,recte,,,,,,,,,
faciet,v,facio,imperf,fut,finite,active,ind,sg,3,,
qui,pron,qui,,,,,,sg,,nom,m
cito,adv,cito,,,,,,,,,
credit,v,credo,imperf,praes,finite,active,ind,sg,3,,
utique,adv,utique,,,,,,,,,
homo,n,homo,,,,,,sg,,nom,m
negotians,v,negotio,imperf,praes,participle,active,,sg,,nom,m
verum,pron,ego,,,,,,sg,,acc,n
quod,pron,qui,,,,,,sg,,acc,n
frunitus,adi,frunitus,,,,,,sg,,nom,m
est,aux,sum,,praes,finite,active,ind,sg,3,,
quam,adv,quam,,,,,,,,,
diu,adv,diu,,,,,,,,,
vixit,v,vixit,perf,past,finite,active,ind,sg,3,,
cui,pron,qui,,,,,,sg,,dat,m
datum,v,do,perf,past,participle,passive,,sg,,nom,n
est,aux,sum,,praes,finite,active,ind,sg,3,,
cui,pron,qui,,,,,,sg,,dat,m
destinatum,v,destino,perf,past,participle,passive,,sg,,nom,n
plane,adv,plane,,,,,,,,,
fortunae,n,fortuna,,,,,,sg,,gen,f
filius,n,filius,,,,,,sg,,nom,m
in,adp,in,,,,,,,,,
manu,n,manus,,,,,,sg,,abl,f
illius,pron,ille,,,,,,sg,,gen,m
plumbum,n,plumbum,,,,,,sg,,acc,n
aurum,n,aurum,,,,,,sg,,nom,n
fiebat,v,facio,imperf,past,finite,passive,ind,sg,3,,
facile,adi,facilis,,,,,,sg,,nom,n
est,aux,sum,,praes,finite,active,ind,sg,3,,
omnia,pron,omnis,,,,,,pl,,acc,n
quadrata,v,quadro,perf,past,participle,passive,,pl,,acc,n
currunt,v,curro,imperf,praes,finite,active,ind,pl,3,,
